growthT,assayT,biorep,generation,growthrate,CN,V,Ccell_pg,M,Ccell_umol,Np 24hrs mumolO2cell,Gp24hrs mumolO2cell,resp24hrs mumolO2cell,cellsml,NP umol C per cell per hour ,GP umol C per cell per hour ,R umol C per cell per hour 
22,15,b1,t300,0.388201477,6.978397352,1621.257584,158.1329208,0.777243096,1.32E-05,1.06E-05,1.54E-05,3.88E-06,463760,4.42E-07,6.42E-07,1.62E-07
22,15,b2,t300,0.558945087,7.091592992,2605.420357,162.7390666,0.780016549,1.36E-05,5.48E-06,1.09E-05,2.18E-06,521950,2.28E-07,4.54E-07,9.08E-08
22,15,b3,t300,0.609841977,7.049828886,14373.48584,196.2644084,0.779001346,1.64E-05,1.03E-05,1.45E-05,2.60E-06,534160,4.29E-07,6.04E-07,1.08E-07
22,15,b4,t300,0.641804182,6.730926718,2459.593239,152.0712702,0.770929242,1.27E-05,4.68E-05,5.21E-05,1.97E-05,441540,1.95E-06,2.17E-06,8.21E-07
22,15,b5,t300,0.546882064,6.398722624,7401.103043,176.8723931,0.76186855,1.47E-05,1.22E-06,2.42E-06,9.96E-08,508420,5.08E-08,1.01E-07,4.15E-09
22,15,b6,t300,0.341812804,6.806838736,2888.527242,158.0387697,0.772903756,1.32E-05,5.08E-06,8.05E-06,1.15E-06,489940,2.12E-07,3.35E-07,4.79E-08
22,20,b1,t300,0.513810155,6.978397352,1944.164307,158.1329208,0.777243096,1.32E-05,3.23E-05,4.12E-05,2.19E-05,537350,1.35E-06,1.72E-06,9.13E-07
22,20,b2,t300,0.955135134,7.091592992,3894.420105,162.7390666,0.780016549,1.36E-05,4.68E-05,5.21E-05,1.84E-05,500500,1.95E-06,2.17E-06,7.67E-07
22,20,b3,t300,0.800646744,7.049828886,5975.710742,196.2644084,0.779001346,1.64E-05,3.02E-05,3.72E-05,9.95E-06,454740,1.26E-06,1.55E-06,4.15E-07
22,20,b4,t300,0.918142619,6.730926718,1968.833964,152.0712702,0.770929242,1.27E-05,3.41E-05,4.95E-05,4.15E-05,491590,1.42E-06,2.06E-06,1.73E-06
22,20,b5,t300,0.546335045,6.398722624,5421.17483,176.8723931,0.76186855,1.47E-05,3.09E-06,4.09E-06,2.10E-07,523160,1.29E-07,1.70E-07,8.75E-09
22,20,b6,t300,0.452069388,6.806838736,2459.593239,158.0387697,0.772903756,1.32E-05,1.09E-05,1.59E-05,4.11E-06,502920,4.54E-07,6.63E-07,1.71E-07
22,25,b1,t300,0.685151814,6.978397352,8420.980661,158.1329208,0.777243096,1.32E-05,2.91E-05,3.99E-05,2.40E-05,441540,1.21E-06,1.66E-06,1.00E-06
22,25,b2,t300,0.711564197,7.091592992,4130.188167,162.7390666,0.780016549,1.36E-05,2.91E-05,3.99E-05,2.33E-05,408430,1.21E-06,1.66E-06,9.71E-07
22,25,b3,t300,0.856103625,7.049828886,3266.895345,196.2644084,0.779001346,1.64E-05,4.01E-05,3.92E-05,2.33E-05,440440,1.67E-06,1.63E-06,9.71E-07
22,25,b4,t300,1.435632901,6.730926718,2912.930289,152.0712702,0.770929242,1.27E-05,8.43E-05,0.000100619,0.000108768,440000,3.51E-06,4.19E-06,4.53E-06
22,25,b5,t300,1.130191276,6.398722624,4094.840274,176.8723931,0.76186855,1.47E-05,5.90E-06,7.19E-06,5.16E-07,449240,2.46E-07,3.00E-07,2.15E-08
22,25,b6,t300,0.319009702,6.806838736,1968.833964,158.0387697,0.772903756,1.32E-05,1.15E-05,1.82E-05,5.86E-06,479820,4.79E-07,7.58E-07,2.44E-07
22,30,b1,t300,0.6025954,6.978397352,9896.849223,158.1329208,0.777243096,1.32E-05,2.28E-05,3.53E-05,2.16E-05,448250,9.50E-07,1.47E-06,9.00E-07
22,30,b3,t300,0.70958349,7.049828886,4370.427427,196.2644084,0.779001346,1.64E-05,4.10E-05,5.76E-05,4.15E-05,424710,1.71E-06,2.40E-06,1.73E-06
22,30,b4,t300,0.501093483,6.730926718,6607.513681,152.0712702,0.770929242,1.27E-05,8.20E-05,9.98E-05,0.00011527,445940,3.42E-06,4.16E-06,4.80E-06
22,30,b5,t300,0.500013848,6.398722624,2602.631234,176.8723931,0.76186855,1.47E-05,2.36E-06,8.37E-06,9.62E-07,491370,9.83E-08,3.49E-07,4.01E-08
22,30,b6,t300,0.650942384,6.806838736,6658.384635,158.0387697,0.772903756,1.32E-05,1.46E-05,2.39E-05,1.03E-05,441980,6.08E-07,9.96E-07,4.29E-07
22,32,b1,t300,0.597895508,6.978397352,2912.930289,158.1329208,0.777243096,1.32E-05,2.65E-05,4.85E-05,4.43E-05,451440,1.10E-06,2.02E-06,1.85E-06
22,32,b2,t300,0.844651746,7.091592992,3864.244374,162.7390666,0.780016549,1.36E-05,4.68E-05,6.64E-05,6.79E-05,401720,1.95E-06,2.77E-06,2.83E-06
22,32,b3,t300,0.905949366,7.049828886,4282.759766,196.2644084,0.779001346,1.64E-05,5.45E-05,7.16E-05,5.70E-05,485540,2.27E-06,2.98E-06,2.38E-06
22,32,b4,t300,1.179131805,6.730926718,10180.08949,152.0712702,0.770929242,1.27E-05,5.86E-05,7.66E-05,8.30E-05,526240,2.44E-06,3.19E-06,3.46E-06
22,32,b5,t300,1.203504441,6.398722624,2130.120247,176.8723931,0.76186855,1.47E-05,2.11E-06,4.71E-06,3.72E-07,488180,8.79E-08,1.96E-07,1.55E-08
22,32,b6,t300,0.982565244,6.806838736,4841.162586,158.0387697,0.772903756,1.32E-05,2.11E-05,3.12E-05,1.62E-05,457820,8.79E-07,1.30E-06,6.75E-07
22,35,b1,t300,0.284937851,6.978397352,2602.631234,158.1329208,0.777243096,1.32E-05,5.66E-06,2.24E-05,7.19E-06,451880,2.36E-07,9.33E-07,3.00E-07
22,35,b2,t300,0.537664613,7.091592992,11265.07745,162.7390666,0.780016549,1.36E-05,1.01E-06,2.27E-06,9.38E-08,348920,4.21E-08,9.46E-08,3.91E-09
22,35,b3,t300,0.167006012,7.049828886,5660.419455,196.2644084,0.779001346,1.64E-05,1.17E-05,2.32E-05,8.24E-06,493240,4.88E-07,9.67E-07,3.43E-07
22,35,b4,t300,0.329587111,6.730926718,19804.49171,152.0712702,0.770929242,1.27E-05,4.27E-06,7.00E-06,9.19E-07,529650,1.78E-07,2.92E-07,3.83E-08
22,35,b5,t300,0.580823605,6.398722624,2577.942624,176.8723931,0.76186855,1.47E-05,2.41E-06,4.92E-06,4.10E-07,440110,1.00E-07,2.05E-07,1.71E-08
22,35,b6,t300,0.334019843,6.806838736,16754.28025,158.0387697,0.772903756,1.32E-05,8.90E-06,2.20E-05,8.83E-06,520850,3.71E-07,9.17E-07,3.68E-07
22,40,b1,t300,0.133767561,6.978397352,2130.120247,158.1329208,0.777243096,1.32E-05,3.45E-06,5.07E-06,4.24E-07,517110,1.44E-07,2.11E-07,1.77E-08
22,40,b2,t300,0.016142709,7.091592992,7678.612836,162.7390666,0.780016549,1.36E-05,6.12E-07,3.08E-06,1.12E-07,555720,2.55E-08,1.28E-07,4.67E-09
22,40,b3,t300,0.019699591,7.049828886,16429.83635,196.2644084,0.779001346,1.64E-05,3.69E-07,2.85E-06,5.59E-08,651750,1.54E-08,1.19E-07,2.33E-09
22,40,b4,t300,62,6.730926718,2620.875986,152.0712702,0.770929242,1.27E-05,6.76E-07,3.15E-06,1.32E-07,642620,2.82E-08,1.31E-07,5.50E-09
22,40,b5,t300,0.0185,6.398722624,8261.976986,176.8723931,0.76186855,1.47E-05,6.64E-07,3.08E-06,1.28E-07,612700,2.77E-08,1.28E-07,5.33E-09
